gene_id,expression,sample_id,mag_id
MAG140_MAG140_MAG140_100_1,0.0,EX01,MAG140
MAG140_MAG140_MAG140_100_2,4.083973812,EX01,MAG140
MAG140_MAG140_MAG140_100_3,2.70354847,EX01,MAG140
MAG140_MAG140_MAG140_100_4,17.1239766,EX01,MAG140
MAG140_MAG140_MAG140_100_5,158.359968,EX01,MAG140
MAG140_MAG140_MAG140_100_6,0.0,EX01,MAG140
MAG140_MAG140_MAG140_100_7,0.0,EX01,MAG140
MAG140_MAG140_MAG140_100_8,22.54066291,EX01,MAG140
MAG140_MAG140_MAG140_101_1,0.0,EX01,MAG140
MAG140_MAG140_MAG140_101_10,5.609499912,EX01,MAG140
MAG140_MAG140_MAG140_101_11,4.58946799,EX01,MAG140
MAG140_MAG140_MAG140_101_12,0.0,EX01,MAG140
MAG140_MAG140_MAG140_101_2,0.0,EX01,MAG140
MAG140_MAG140_MAG140_101_3,0.0,EX01,MAG140
MAG140_MAG140_MAG140_101_4,0.0,EX01,MAG140
MAG140_MAG140_MAG140_101_5,0.0,EX01,MAG140
MAG140_MAG140_MAG140_101_6,12.0458781,EX01,MAG140
MAG140_MAG140_MAG140_101_7,0.0,EX01,MAG140
MAG140_MAG140_MAG140_101_8,14.13672785,EX01,MAG140
MAG140_MAG140_MAG140_101_9,0.0,EX01,MAG140
MAG140_MAG140_MAG140_102_1,5.747473169,EX01,MAG140
MAG140_MAG140_MAG140_102_10,0.0,EX01,MAG140
MAG140_MAG140_MAG140_102_2,0.0,EX01,MAG140
MAG140_MAG140_MAG140_102_3,0.0,EX01,MAG140
MAG140_MAG140_MAG140_102_4,0.0,EX01,MAG140
MAG140_MAG140_MAG140_102_5,0.0,EX01,MAG140
MAG140_MAG140_MAG140_102_6,0.0,EX01,MAG140
MAG140_MAG140_MAG140_102_7,1.148605342,EX01,MAG140
MAG140_MAG140_MAG140_102_8,0.0,EX01,MAG140
MAG140_MAG140_MAG140_102_9,0.0,EX01,MAG140
MAG140_MAG140_MAG140_103_1,5.915835841,EX01,MAG140
MAG140_MAG140_MAG140_103_10,2.804971605,EX01,MAG140
MAG140_MAG140_MAG140_103_11,2.264613842,EX01,MAG140
MAG140_MAG140_MAG140_103_12,14.53644233,EX01,MAG140
MAG140_MAG140_MAG140_103_13,9.837999555,EX01,MAG140
MAG140_MAG140_MAG140_103_2,4.457968468,EX01,MAG140
MAG140_MAG140_MAG140_103_3,0.0,EX01,MAG140
MAG140_MAG140_MAG140_103_4,0.0,EX01,MAG140
MAG140_MAG140_MAG140_103_5,5.436741018,EX01,MAG140
MAG140_MAG140_MAG140_103_6,0.0,EX01,MAG140
MAG140_MAG140_MAG140_103_7,1.26111213,EX01,MAG140
MAG140_MAG140_MAG140_103_8,0.0,EX01,MAG140
MAG140_MAG140_MAG140_103_9,4.995851266,EX01,MAG140
MAG140_MAG140_MAG140_104_1,0.0,EX01,MAG140
MAG140_MAG140_MAG140_104_10,6.495182904,EX01,MAG140
MAG140_MAG140_MAG140_104_11,10.13780577,EX01,MAG140
MAG140_MAG140_MAG140_104_12,0.0,EX01,MAG140
MAG140_MAG140_MAG140_104_13,5.993007042,EX01,MAG140
MAG140_MAG140_MAG140_104_14,0.788395356,EX01,MAG140
MAG140_MAG140_MAG140_104_15,17.78316424,EX01,MAG140
MAG140_MAG140_MAG140_104_16,0.0,EX01,MAG140
MAG140_MAG140_MAG140_104_17,274.1080349,EX01,MAG140
MAG140_MAG140_MAG140_104_18,66.32958586,EX01,MAG140
MAG140_MAG140_MAG140_104_19,37.91848366,EX01,MAG140
MAG140_MAG140_MAG140_104_2,1.463971608,EX01,MAG140
MAG140_MAG140_MAG140_104_20,19.36381865,EX01,MAG140
MAG140_MAG140_MAG140_104_21,38.52893512,EX01,MAG140
MAG140_MAG140_MAG140_104_22,54.21798907,EX01,MAG140
MAG140_MAG140_MAG140_104_23,63.9450303,EX01,MAG140
MAG140_MAG140_MAG140_104_24,0.0,EX01,MAG140
MAG140_MAG140_MAG140_104_25,0.0,EX01,MAG140
MAG140_MAG140_MAG140_104_26,20.76273675,EX01,MAG140
MAG140_MAG140_MAG140_104_27,0.0,EX01,MAG140
MAG140_MAG140_MAG140_104_28,120.9854045,EX01,MAG140
MAG140_MAG140_MAG140_104_29,0.0,EX01,MAG140
MAG140_MAG140_MAG140_104_3,0.0,EX01,MAG140
MAG140_MAG140_MAG140_104_30,0.0,EX01,MAG140
MAG140_MAG140_MAG140_104_31,7.608991256,EX01,MAG140
MAG140_MAG140_MAG140_104_32,6.461494608,EX01,MAG140
MAG140_MAG140_MAG140_104_33,0.0,EX01,MAG140
MAG140_MAG140_MAG140_104_34,9.177015728,EX01,MAG140
MAG140_MAG140_MAG140_104_4,2.719090795,EX01,MAG140
MAG140_MAG140_MAG140_104_5,5.161876967,EX01,MAG140
MAG140_MAG140_MAG140_104_6,1.318617847,EX01,MAG140
MAG140_MAG140_MAG140_104_7,0.0,EX01,MAG140
MAG140_MAG140_MAG140_104_8,2.447554278,EX01,MAG140
MAG140_MAG140_MAG140_104_9,3.261597385,EX01,MAG140
MAG140_MAG140_MAG140_105_1,0.0,EX01,MAG140
MAG140_MAG140_MAG140_105_2,0.0,EX01,MAG140
MAG140_MAG140_MAG140_105_3,8.033237482,EX01,MAG140
MAG140_MAG140_MAG140_105_4,6.543949986,EX01,MAG140
MAG140_MAG140_MAG140_105_5,1.08763297,EX01,MAG140
MAG140_MAG140_MAG140_105_6,2.019506908,EX01,MAG140
MAG140_MAG140_MAG140_105_7,3.686103682,EX01,MAG140
MAG140_MAG140_MAG140_106_1,0.0,EX01,MAG140
MAG140_MAG140_MAG140_106_10,0.0,EX01,MAG140
