reaction,flux,metabolite,sample_id
EX_h2_m,1000.0,h2,EX01
EX_o2_m,1000.0,o2,EX01
EX_photon_m,1000.0,photon,EX01
EX_h2o_m,1000.0,h2o,EX01
EX_co2_m,1000.0,co2,EX01
EX_hco3_m,1000.0,hco3,EX01
EX_glc__D_m,0.0,glc__D,EX01
EX_no3_m,0.0,no3,EX01
EX_nh4_m,0.0,nh4,EX01
EX_n2_m,1000.0,n2,EX01
EX_so4_m,1000.0,so4,EX01
EX_so3_m,1000.0,so3,EX01
EX_tsul_m,1000.0,tsul,EX01
EX_h2s_m,0.0,h2s,EX01
EX_pi_m,1000.0,pi,EX01
EX_fe2_m,1000.0,fe2,EX01
EX_fe3_m,1000.0,fe3,EX01
EX_cl_m,1000.0,cl,EX01
EX_na1_m,1000.0,na1,EX01
EX_k_m,1000.0,k,EX01
EX_ca2_m,1000.0,ca2,EX01
EX_mg2_m,1000.0,mg2,EX01
EX_mn2_m,1000.0,mn2,EX01
EX_zn2_m,1000.0,zn2,EX01
EX_cu2_m,1000.0,cu2,EX01
EX_cobalt2_m,1000.0,cobalt2,EX01
EX_ni2_m,1000.0,ni2,EX01
EX_mobd_m,1000.0,mobd,EX01
EX_aso3_m,1000.0,aso3,EX01
EX_aso4_m,1000.0,aso4,EX01
EX_fol_m,0.001,fol,EX01
EX_pydxn_m,0.001,pydxn,EX01
EX_pydx_m,0.001,pydx,EX01
EX_ribflv_m,0.001,ribflv,EX01
EX_thm_m,0.001,thm,EX01
EX_nac_m,0.001,nac,EX01
EX_4abz_m,0.001,4abz,EX01
EX_lipoate_m,0.001,lipoate,EX01
EX_pnto__R_m,0.001,pnto__R,EX01
