reaction_id,lb,ub,reaction_name,equation,type
NADFADOR,-1000,1000,NAD:FAD oxidoreductase,2 nad[C_c] + fdxr_42[C_c] + fadh2[C_c]  <=> 2 nadh[C_c] + fdxo_42[C_c] + fad[C_c] ,Ana2Cata
RNF,0,1000,Ferredoxin:NAD oxidoreductase ( 2 protons traslocation),3 h[C_c] + nad[C_c] + fdxr_42[C_c]  -> nadh[C_c] + 2 h[C_e] + fdxo_42[C_c] ,Ana2Cata
FQR,0,1000,Cyclic Electron Flow,2.0 fdxrd_c + pq_u --> 2.0 fdxo_2_2_c + 2.0 h_c + pqh2_u,Ana2Cata
FADRx2,0,1000,FAD reductase,h[C_c] + nadph[C_c] + fad[C_c]  -> nadp[C_c] + fadh2[C_c] ,Ana2Cata
NADTRHD,0,1000,NAD transhydrogenase,nad[C_c] + nadph[C_c]  -> nadh[C_c] + nadp[C_c] ,Ana2Cata
NDH1_1u,0,1000,NAD(P)H dehydrogenase (plastoquinone-8 & 3 protons) (tilacoide),4 h[C_c] + nadph[C_c] + pq[C_u]  -> nadp[C_c] + 3 h[C_u] + pqh2[C_u] ,Ana2Cata
NADPHQR,0,1000,NADPHQR,h[C_c] + nadph[C_c] + mqn6[C_c]  -> nadp[C_c] + mql6[C_c] ,Ana2Cata
NADPHQR2,0,1000,NADPH Quinone Reductase (Ubiquinone-8),h[C_c] + nadph[C_c] + q8[C_c]  -> nadp[C_c] + q8h2[C_c] ,Ana2Cata
QRr,0,1000,QRr,h[C_c] + nadph[C_c] + q[C_c]  -> nadp[C_c] + qh2[C_c] ,Ana2Cata
NADPHQR3,0,1000,NADPH Quinone Reductase (Menaquinone-8),h[C_c] + nadph[C_c] + mqn8[C_c]  -> nadp[C_c] + mql8[C_c] ,Ana2Cata
NADPHQR4,0,1000,NADPH Quinone Reductase (2-Demethylmenaquinone-8),h[C_c] + nadph[C_c] + 2dmmq8[C_c]  -> nadp[C_c] + 2dmmql8[C_c] ,Ana2Cata
NDH1_1p,0,1000,NAD(P)H dehydrogenase (plastoquinone-8 & 3 protons) (periplasm),4 h[C_c] + nadph[C_c] + pq[C_p]  -> nadp[C_c] + 3 h[C_p] + pqh2[C_p] ,Ana2Cata
NDH1_3u,0,1000,Active co2 transporter facilitator (tilacoide),h2o[C_c] + 3 h[C_c] + nadph[C_c] + co2[C_p] + pq[C_u]  -> nadp[C_c] + hco3[C_c] + 3 h[C_u] + pqh2[C_u] ,Ana2Cata
