metabolite,name,Formula,molecular_weight,C_number,N_number,S_number,P_number
10fthf_c,10-Formyltetrahydrofolate,C20H21N7O7,471.42344,20,7,0,0
adp_c,ADP,C10H12N5O10P2,424.1773,10,5,0,2
atp_c,ATP,C10H12N5O13P3,503.14927,10,5,0,3
glu__L_c,L-Glutamate,C5H8NO4,146.12132,5,1,0,0
pi_c,Phosphate,HO4P,95.9793,0,0,0,1
12dgr120_c,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",C27H52O5,456.69878,27,0,0,0
12dgr120_p,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",C27H52O5,456.69878,27,0,0,0
12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",C31H60O5,512.8051,31,0,0,0
12dgr141_c,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C31H56O5,508.77334,31,0,0,0
12dgr141_p,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",C31H56O5,508.77334,31,0,0,0
12dgr160_c,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",C35H68O5,568.91142,35,0,0,0
12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,625.01774,39,0,0,0
12dgr180_p,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,625.01774,39,0,0,0
12dgr181_c,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,620.98598,39,0,0,0
12dgr181_p,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",C39H72O5,620.98598,39,0,0,0
12ppd__R_c,"(R)-Propane-1,2-diol",C3H8O2,76.09442,3,0,0,0
h2o_c,H2O,H2O,18.01528,0,0,0,0
ppal_c,Propanal,C3H6O,58.07914,3,0,0,0
12ppd__S_c,"(S)-Propane-1,2-diol",C3H8O2,76.09442,3,0,0,0
glc__D_c,D-Glucose,C6H12O6,180.15588,6,0,0,0
glc__D_e,D-Glucose,C6H12O6,180.15588,6,0,0,0
h2o_e,H2O,H2O,18.01528,0,0,0,0
h2o2_c,Hydrogen peroxide,H2O2,34.01468,0,0,0,0
nh4_c,Ammonium,NH4,18.03846,0,1,0,0
o2_c,O2,O2,31.9988,0,0,0,0
h_c,H+,H,1.00794,0,0,0,0
udp_c,UDP,C9H11N2O12P2,401.13736,9,2,0,2
udpg_c,UDPglucose,C15H22N2O17P2,564.2859,15,2,0,2
nad_c,Nicotinamide adenine dinucleotide,C21H26N7O14P2,662.41716,21,7,0,2
nadh_c,Nicotinamide adenine dinucleotide - reduced,C21H27N7O14P2,663.4251,21,7,0,2
3hppnl_c,3-Hydroxypropanal,C3H6O2,74.07854,3,0,0,0
13ppd_c,"1,3-Propanediol",C3H8O2,76.09442,3,0,0,0
13ppd_e,"1,3-Propanediol",C3H8O2,76.09442,3,0,0,0
13ppd_p,"1,3-Propanediol",C3H8O2,76.09442,3,0,0,0
coa_c,Coenzyme A,C21H32N7O16P3S,763.50237,21,7,1,3
nadp_c,Nicotinamide adenine dinucleotide phosphate,C21H25N7O17P3,740.38119,21,7,0,3
nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,C21H26N7O17P3,741.38913,21,7,0,3
h_p,H+,H,1.00794,0,0,0,0
23dhmb_c,"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4,133.12256,5,0,0,0
23dhmp_c,"(R)-2,3-Dihydroxy-3-methylpentanoate",C6H11O4,147.14914,6,0,0,0
dkmpp_c,"2,3-diketo-5-methylthio-1-phosphopentane",C6H9O6PS,240.17082,6,0,1,1
h2o_p,H2O,H2O,18.01528,0,0,0,0
26dap__M_e,"Meso-2,6-Diaminoheptanedioate",C7H14N2O4,190.19706,7,2,0,0
23dhdp_c,"2,3-Dihydrodipicolinate",C7H5NO4,167.1189,7,1,0,0
2agpe120_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C17H36NO7P1,397.444,17,1,0,1
2agpe120_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C17H36NO7P1,397.444,17,1,0,1
2agpe141_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C19H38NO7P1,423.48128,19,1,0,1
2agpe141_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C19H38NO7P1,423.48128,19,1,0,1
2agpe180_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),C23H48NO7P1,481.60348,23,1,0,1
2agpe180_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),C23H48NO7P1,481.60348,23,1,0,1
2agpe181_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),C23H46NO7P1,479.5876,23,1,0,1
2agpe181_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),C23H46NO7P1,479.5876,23,1,0,1
amp_c,AMP,C10H12N5O7P,345.20534,10,5,0,1
ddca_c,Dodecanoate (n-C12:0),C12H23O2,199.30982,12,0,0,0
pe120_c,"Phosphatidylethanolamine (didodecanoyl, n-C12:0)",C29H58N1O8P1,579.74648,29,1,0,1
ppi_c,Diphosphate,HO7P2,174.95126,0,0,0,2
pe140_c,"Phosphatidylethanolamine (ditetradecanoyl, n-C14:0)",C33H66NO8P,635.8528,33,1,0,1
ttdca_c,Tetradecanoate (n-C14:0),C14H27O2,227.36298,14,0,0,0
pe141_c,"Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)",C33H62N1O8P1,631.82104,33,1,0,1
ttdcea_c,Tetradecenoate (n-C14:1),C14H25O2,225.3471,14,0,0,0
hdca_c,Hexadecanoate (n-C16:0),C16H31O2,255.41614,16,0,0,0
pe160_c,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",C37H74NO8P,691.95912,37,1,0,1
hdcea_c,Hexadecenoate (n-C16:1),C16H29O2,253.40026,16,0,0,0
pe161_c,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",C37H70NO8P,687.92736,37,1,0,1
ocdca_c,Octadecanoate (n-C18:0),C18H35O2,283.4693,18,0,0,0
pe180_c,"Phosphatidylethanolamine (dioctadecanoyl, n-C18:0)",C41H82N1O8P1,748.06544,41,1,0,1
ocdcea_c,Octadecenoate (n-C18:1),C18H33O2,281.45342,18,0,0,0
pe181_c,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",C41H78N1O8P1,744.03368,41,1,0,1
2agpg120_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C18H36O9P1,427.4468,18,0,0,1
2agpg120_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C18H36O9P1,427.4468,18,0,0,1
2agpg180_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),C24H48O9P1,511.60628,24,0,0,1
2agpg180_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),C24H48O9P1,511.60628,24,0,0,1
2agpg181_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C24H46O9P1,509.5904,24,0,0,1
2agpg181_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),C24H46O9P1,509.5904,24,0,0,1
pg120_c,"Phosphatidylglycerol (didodecanoyl, n-C12:0)",C30H58O10P1,609.74928,30,0,0,1
pg140_c,"Phosphatidylglycerol (ditetradecanoyl, n-C14:0)",C34H66O10P1,665.8556,34,0,0,1
pg141_c,"Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)",C34H62O10P1,661.82384,34,0,0,1
pg160_c,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)",C38H74O10P1,721.96192,38,0,0,1
pg161_c,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",C38H70O10P1,717.93016,38,0,0,1
pg180_c,"Phosphatidylglycerol (dioctadecanoyl, n-C18:0)",C42H82O10P1,778.06824,42,0,0,1
pg181_c,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)",C42H78O10P1,774.03648,42,0,0,1
pyr_c,Pyruvate,C3H3O3,87.05412,3,0,0,0
pap_c,"Adenosine 3',5'-bisphosphate",C10H11N5O10P2,423.16936,10,5,0,2
